,userid,,connectionid,,status,
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Conor.Kihn,"','",Caleigh_Wiza,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Clark_Streich,"','",Nona,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Stacey_Weimann,"','",Duncan_Langworth,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sarai.Bogisich,"','",Fabiola.Koepp,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Karelle,"','",Meagan,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Grant,"','",Lexi.Vandervort,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Harmony,"','",Ophelia,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Carmel_Kreiger,"','",Kiana,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Antonio_Rutherford,"','",Lucy,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Dario_Carter,"','",Lucio,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Reagan,"','",Joanne,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jillian.McClure,"','",Newton.Hettinger,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Beulah,"','",Fermin,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cody_Bashirian,"','",Tess,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sigmund,"','",Moises,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alda_Becker,"','",Kailyn.Farrell,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Misty.Sawayn,"','",Rachael_Smitham,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Andres,"','",Florian_Keebler,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Josie.Heidenreich,"','",Maggie,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cade_Bayer,"','",Chelsie.Gerhold,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Marty,"','",Jakob.Grimes,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sandy,"','",Francesco,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jasmin_Terry,"','",Keely_Walter,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jacklyn,"','",Heloise,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rebeca,"','",Seth,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jensen,"','",Gaston,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Claude_Renner,"','",Myles_McDermott,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Emma_Lebsack,"','",Dayton_Dach,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alfreda.Rosenbaum,"','",Anika.Breitenberg,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alfredo,"','",Estel_Marvin,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kenya.Bergstrom,"','",Elisha,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Darryl,"','",Novella.Raynor,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Gisselle,"','",Rasheed,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Weldon.Tromp,"','",Vernie.Schaefer,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Reva.Rolfson,"','",Aubrey,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Dortha,"','",Coleman,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Joey,"','",Isabell,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Devonte,"','",Lukas,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Al_Kessler,"','",Shayna.Rau,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jules,"','",Estevan.Bosco,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Albina_Koelpin,"','",Angelina.Bartell,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Makenzie,"','",Lottie_Klocko,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ezequiel,"','",Daisy_Schuster,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Joshua_Hamill,"','",Amanda,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Pasquale.Russel,"','",Lesly,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Hayley.Farrell,"','",Brannon.Mohr,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jerrell,"','",Lyric,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Destiney,"','",Tabitha,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Turner.Lowe,"','",Freddy_Erdman,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Osborne,"','",Norval_Russel,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Noemi,"','",Reta,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Gilberto_Fisher,"','",Larry,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Conor.Huel,"','",Rupert,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Conor,"','",Valentina,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Enola,"','",Hester.Nienow,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Wilson_Bode,"','",Vinnie,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jovani_Hodkiewicz,"','",Donnie,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sibyl_Davis,"','",Eugene,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Gunner,"','",Lourdes_Kemmer,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Broderick,"','",Alysa.Yost,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Yessenia,"','",Esmeralda,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Vaughn,"','",Haylie,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cheyenne,"','",Agustin.Dietrich,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Myrtice,"','",Dorothea,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Adelia.Walsh,"','",Elva.Kemmer,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rosalyn.Hoeger,"','",Amanda.Jast,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Isabell_Heathcote,"','",Liza,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Tatyana,"','",Bernadine,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kristopher_Mitchell,"','",Saul,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Arely_Feeney,"','",Antwon.Feest,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Marta.Jacobson,"','",Hal.Lehner,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Billy.Hansen,"','",Junius,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Maxwell,"','",Edgardo.Aufderhar,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Tierra.Roberts,"','",Miguel,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Euna,"','",Fermin.Runte,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alejandrin_Wunsch,"','",Ottilie_Raynor,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mackenzie,"','",Rory,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cecil.Becker,"','",Sylvan.Doyle,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Toni,"','",Genesis,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Norris.Willms,"','",Araceli,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Daija,"','",Cheyenne_Stokes,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Shemar,"','",Jacinto_Shields,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Pablo,"','",Jason.Koch,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alexie,"','",Devon_Lehner,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Justine_Weber,"','",Jeanie,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Henriette,"','",Caterina.Blanda,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Edyth,"','",Conor_Flatley,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Caleigh_Jast,"','",Benny_Turner,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Van,"','",Rosalind,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Davion,"','",Janelle.Nikolaus,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Melvina.Veum,"','",Laurence,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Logan.Stamm,"','",Reece,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Yolanda.Hills,"','",Lavonne_Lind,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Samanta_Padberg,"','",Kolby_Tillman,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ena.Anderson,"','",Alba,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jane.Beier,"','",Kristin,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ida.Murazik,"','",Grant_Hudson,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Crystal_Cole,"','",Jillian_Yost,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Melba,"','",Al_Kessler,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sarina.Kihn,"','",Alyson_Reilly,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Antwan.Murphy,"','",Avis,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Garrick_Steuber,"','",Eliezer,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Bret,"','",Onie.McClure,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cassandre_Metz,"','",Litzy_Morissette,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rozella_Dach,"','",Rigoberto_Baumbach,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Edwardo_Rodriguez,"','",Sydney_Beatty,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Doris.Lindgren,"','",Garrick_Cruickshank,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Shannon_Gleason,"','",Lionel_Johnson,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Patrick,"','",Americo_Rempel,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Barbara,"','",Pinkie,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Osvaldo,"','",Rosalee.Schuppe,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Anastasia.Gottlieb,"','",Monty,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rosina,"','",Valerie_Green,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Merl,"','",Brittany_Erdman,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Selena.Macejkovic,"','",Cleora,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rodger.Thompson,"','",Darrell.Weissnat,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Crawford_Jenkins,"','",Nova.Bruen,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Paul_Lind,"','",Chadrick.Bode,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Modesta,"','",Fabiola.Aufderhar,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Lela.Moen,"','",Allie.D''Amore,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Shad_Rolfson,"','",Sienna_DuBuque,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Libbie_Wisozk,"','",Ellsworth,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mathew_Bergnaum,"','",Nigel,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Meta,"','",Seamus.Kozey,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Deangelo,"','",Jose,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ozella_Bauch,"','",Katlynn.Jewess,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Dereck,"','",Emily_Mohr,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Odie,"','",Guadalupe,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Magnolia,"','",Luigi,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cristobal,"','",Fausto_Boyle,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alice.Langosh,"','",Johan_Bogan,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Archibald,"','",Brenden.Grimes,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jaquelin,"','",Mohamed,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Laron.Runolfsson,"','",Alfreda.Shanahan,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cielo.Pfannerstill,"','",Jacklyn,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mariana.Miller,"','",Avery_Koch,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kurtis,"','",Daphney,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jordi,"','",Haylie,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jamir.Gutkowski,"','",Helga,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mariam_Lehner,"','",Joesph,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Keara,"','",Dahlia,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sister_Harris,"','",Mozelle,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Esmeralda_Kilback,"','",Elsa,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alex.Haley,"','",Miguel_Stehr,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rhett_Roberts,"','",Barrett,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rogers,"','",Billie,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Clare.Waelchi,"','",Alivia_Gleichner,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Johnathon_Morar,"','",Eli.Harris,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Benjamin_Raynor,"','",Misty.Lynch,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Amira.Tremblay,"','",Ross,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kayla,"','",Angeline,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Charles_Jerde,"','",Eleanore,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Elwin,"','",Jennyfer_McLaughlin,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sunny_Hickle,"','",Bruce,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Chauncey.Wintheiser,"','",Aliya,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Adalberto.Zboncak,"','",Shayna.Hegmann,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Chesley.Hyatt,"','",Angela_Mertz,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Stevie,"','",Derek,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Elias,"','",Ken_Hills,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alana_Swift,"','",Ryley.Hahn,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Eda.Marvin,"','",Helene.Schultz,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Aletha.Hauck,"','",Flavio,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Everette_Schumm,"','",Marielle,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Derek,"','",Margarett.Thiel,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Christopher_Hermann,"','",Marco_Schumm,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Domenick,"','",Chance_Prosacco,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Elroy_Orn,"','",Ardella_Walsh,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Lemuel,"','",Lenna_Jenkins,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rogers.Beier,"','",Angelica_Lueilwitz,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Aron_Little,"','",Van,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Adriel,"','",Ulises_Ebert,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Gianni.Kuhic,"','",Sid,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Warren.Quitzon,"','",Isac,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Arlie_Marks,"','",Katelyn.Barton,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rubie.Towne,"','",Terry,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jany.O''Keefe,"','",Raleigh.Klein,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Nash,"','",Zola.Weber,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Hayley,"','",Ima_Stamm,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Darby_Kuhlman,"','",Jewel,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alberto.Goyette,"','",Matilde_Russel,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jerry.Brakus,"','",Isabell.Prosacco,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Aron.Schaefer,"','",Scotty,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Casimer.Okuneva,"','",Leonard,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",River_Mann,"','",Lynn,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Icie.Waters,"','",Arjun_Bruen,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Celestine_Schinner,"','",Jean.Nader,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Adolph,"','",Asia.Flatley,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rory.Wilderman,"','",August.Kihn,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Athena.Hirthe,"','",Kiel,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Marcel.Dickinson,"','",Jorge_Okuneva,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Clarissa_Lueilwitz,"','",Logan,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Adriel_Mann,"','",Abbie.Funk,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Fannie_Walter,"','",Vince_Schulist,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Berenice.Heaney,"','",Estell_Kiehn,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Damien.Botsford,"','",Michelle,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mateo,"','",Santina,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Valentina,"','",Nola_Frami,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jesus,"','",Dennis,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Hudson.Bruen,"','",Alyson,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Leanne_Schimmel,"','",Leopoldo,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Sandra.Romaguera,"','",Hollis,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kaylin_Nader,"','",Yoshiko_Wuckert,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Retha.Powlowski,"','",Adriel,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Clinton_Stanton,"','",Xavier_Nolan,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Janick.Borer,"','",Brian,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ernest,"','",Marlin.White,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Rubye.Lakin,"','",Lelah,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ryley_Watsica,"','",Gustave,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Palma,"','",Rowan,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Vernon.Ernser,"','",Gracie,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Christian_Dietrich,"','",Cassie.O''Kon,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kyra,"','",Stephon_Feest,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Zelda_Connelly,"','",Jaylen.Emard,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Dannie,"','",Ricky_Bayer,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Russel,"','",Barney,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kristopher,"','",Vito,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mitchel,"','",Isaias.Cummerata,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Gwendolyn,"','",Damaris,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Francesco.Littel,"','",Laurie_Fisher,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Claud_Bogisich,"','",Sabina.Trantow,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mertie.Ruecker,"','",Arjun_Bruen,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Luella,"','",Giles_Anderson,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ethyl.Nikolaus,"','",Bonita.O''Hara,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Dena_West,"','",Whitney.Bechtelar,"','",Request,');
